video,resolution,fps,number of frames,qp,PSNR-Y,PSNR-U,PSNR-V,psnr,bitrate
bowing,352x288,/,30,37,30,30,30,30.0,36151.2960
POC,Ftype,QP,PSNR-Y,PSNR-U,PSNR-V,Bits,EncT(ms),Bitratekbps
