Frame,integer_adm2,integer_adm_scale0,integer_adm_scale1,integer_adm_scale2,integer_adm_scale3,integer_motion2,integer_motion,integer_vif_scale0,integer_vif_scale1,integer_vif_scale2,integer_vif_scale3,vmaf,
0,0.954192,0.943937,0.922417,0.955562,0.975494,0.000000,0.000000,0.552055,0.881801,0.933872,0.959593,81.531201,
1,0.953195,0.942749,0.919902,0.955594,0.974566,0.367927,0.369508,0.550528,0.877981,0.931470,0.959236,81.648389,
2,0.953490,0.940943,0.920501,0.954386,0.976819,0.361249,0.367927,0.550478,0.877753,0.930039,0.957315,81.494522,
3,0.953744,0.940749,0.920871,0.955725,0.976290,0.361249,0.361249,0.550435,0.877352,0.930922,0.958620,81.686212,
4,0.953670,0.941401,0.920027,0.958058,0.974372,0.362707,0.372621,0.551350,0.878670,0.931910,0.959448,81.775246,
5,0.954306,0.941621,0.921134,0.957160,0.976152,0.362601,0.362707,0.550579,0.876762,0.930430,0.957408,81.691971,
6,0.954033,0.940813,0.921894,0.957401,0.975109,0.360057,0.362601,0.550938,0.877809,0.931118,0.959148,81.793867,
7,0.955322,0.941759,0.920924,0.957879,0.978522,0.357408,0.360057,0.551082,0.878182,0.931569,0.958516,82.032765,
8,0.954566,0.941117,0.922542,0.958185,0.975441,0.357408,0.357408,0.551802,0.877494,0.931073,0.958979,81.886358,
9,0.953645,0.941244,0.919585,0.956730,0.975697,0.371395,0.385095,0.551434,0.877336,0.930577,0.959069,81.695892,
10,0.953847,0.942158,0.921242,0.956497,0.975148,0.361290,0.371395,0.551857,0.877117,0.930387,0.957792,81.618272,
11,0.953341,0.940583,0.919710,0.955219,0.976337,0.361290,0.361290,0.552055,0.877368,0.931184,0.958789,81.620942,
12,0.953190,0.941471,0.919890,0.956002,0.974764,0.361835,0.363956,0.551791,0.876807,0.929735,0.957331,81.417447,
13,0.954315,0.941054,0.918739,0.959300,0.976077,0.361835,0.361835,0.553114,0.877725,0.931088,0.958068,81.765280,
14,0.952997,0.940586,0.920412,0.954588,0.975406,0.362634,0.362634,0.553497,0.878811,0.931332,0.958060,81.495780,
15,0.953567,0.940326,0.921638,0.955230,0.975916,0.366010,0.370648,0.553225,0.878253,0.931202,0.958902,81.681395,
16,0.952514,0.939886,0.917860,0.955091,0.975450,0.365975,0.366010,0.552676,0.879457,0.932570,0.959551,81.566705,
17,0.952967,0.939163,0.918315,0.956471,0.975642,0.365975,0.365975,0.552234,0.879784,0.932776,0.960126,81.716991,
18,0.954433,0.940391,0.919782,0.958057,0.977085,0.368961,0.370598,0.553250,0.879486,0.932505,0.959328,81.955374,
19,0.952770,0.939988,0.918549,0.955062,0.975720,0.368961,0.368961,0.552470,0.880342,0.933443,0.959685,81.671747,
20,0.953036,0.939665,0.919628,0.955140,0.975916,0.370173,0.371992,0.552743,0.878926,0.932606,0.959485,81.678418,
21,0.953090,0.940045,0.918331,0.956218,0.975782,0.356080,0.370173,0.552808,0.879021,0.932347,0.958214,81.563102,
22,0.951281,0.940965,0.917786,0.955183,0.971481,0.356080,0.356080,0.552801,0.878137,0.931432,0.957361,81.076196,
23,0.953386,0.941002,0.918374,0.955872,0.976508,0.362690,0.363434,0.553434,0.879491,0.932826,0.959646,81.763348,
24,0.952610,0.941639,0.919973,0.955483,0.973430,0.362690,0.362690,0.554325,0.880064,0.933366,0.959450,81.604111,
25,0.952522,0.940407,0.918720,0.957768,0.972534,0.363994,0.363994,0.553226,0.880475,0.933709,0.959464,81.605166,
26,0.952741,0.939581,0.919148,0.955540,0.975073,0.365735,0.365735,0.553613,0.880055,0.932948,0.959473,81.621845,
27,0.953157,0.940805,0.920089,0.955561,0.975149,0.373717,0.374079,0.553729,0.880038,0.933524,0.959883,81.775039,
28,0.953234,0.940679,0.920147,0.955637,0.975395,0.366677,0.373717,0.554059,0.880421,0.933951,0.960755,81.867557,
29,0.954322,0.941604,0.919277,0.957510,0.976992,0.366677,0.366677,0.553856,0.880050,0.932770,0.959407,81.944748,
