Frame,integer_adm2,integer_adm_scale0,integer_adm_scale1,integer_adm_scale2,integer_adm_scale3,integer_motion2,integer_motion,integer_vif_scale0,integer_vif_scale1,integer_vif_scale2,integer_vif_scale3,vmaf,
0,0.993780,0.983711,0.988174,0.996270,0.997949,0.000000,0.000000,0.812446,0.986756,0.994008,0.996630,95.457452,
1,0.993952,0.984558,0.988153,0.996586,0.997893,0.141548,0.152803,0.816485,0.987679,0.994231,0.996564,95.692155,
2,0.993509,0.984380,0.987874,0.996156,0.997274,0.137283,0.141548,0.817099,0.987016,0.993858,0.996027,95.527024,
3,0.993471,0.983541,0.988120,0.996617,0.996988,0.137283,0.137283,0.818857,0.987854,0.994463,0.996870,95.616541,
4,0.992476,0.983606,0.988177,0.994381,0.996047,0.173201,0.173201,0.814432,0.985475,0.993281,0.996227,95.334369,
5,0.992481,0.983320,0.987506,0.994452,0.996420,0.150192,0.206343,0.814954,0.986268,0.993827,0.996941,95.389630,
6,0.993099,0.984887,0.986132,0.995232,0.997618,0.150192,0.150192,0.814405,0.986881,0.994086,0.996780,95.525990,
7,0.992690,0.982298,0.984713,0.994273,0.998841,0.198175,0.198175,0.813642,0.987256,0.994344,0.996765,95.513788,
8,0.993189,0.981956,0.987058,0.995401,0.998206,0.200092,0.205264,0.812260,0.987198,0.994197,0.996658,95.609970,
9,0.990206,0.977968,0.980797,0.992450,0.997139,0.200092,0.200092,0.805372,0.985311,0.993358,0.996229,94.883278,
10,0.990113,0.977288,0.981901,0.991661,0.997140,0.208502,0.208502,0.804306,0.983683,0.992433,0.995767,94.788911,
11,0.988489,0.978393,0.979782,0.990410,0.994617,0.223990,0.223990,0.803024,0.982571,0.991666,0.995172,94.370377,
12,0.988691,0.977587,0.980231,0.990692,0.994975,0.215536,0.228705,0.797666,0.981599,0.991545,0.995285,94.404785,
13,0.987705,0.975686,0.979466,0.990571,0.993520,0.215536,0.215536,0.794980,0.979444,0.989932,0.994028,94.009667,
14,0.988502,0.976954,0.980705,0.990254,0.994773,0.287538,0.287538,0.789234,0.979291,0.990402,0.994743,94.359084,
15,0.986517,0.969381,0.972430,0.991961,0.995022,0.424631,0.424631,0.784830,0.980479,0.990815,0.994923,94.150142,
16,0.987427,0.973205,0.974483,0.989139,0.997194,0.533203,0.533203,0.781829,0.980987,0.991579,0.995190,94.550988,
17,0.986406,0.964056,0.969936,0.991473,0.998121,0.535552,0.535552,0.773101,0.979937,0.991102,0.994572,94.261482,
18,0.987370,0.966415,0.976617,0.991627,0.996445,0.514791,0.548226,0.770132,0.978775,0.990598,0.994834,94.438581,
19,0.985889,0.964096,0.967737,0.992596,0.997311,0.429396,0.514791,0.762872,0.977740,0.990290,0.994232,93.942371,
20,0.985096,0.965715,0.971827,0.989542,0.994928,0.338466,0.429396,0.761270,0.976000,0.989152,0.993748,93.554680,
21,0.985093,0.962490,0.972033,0.990055,0.995479,0.263109,0.338466,0.762911,0.975648,0.989123,0.993943,93.466281,
22,0.985215,0.966819,0.974401,0.988592,0.994217,0.263109,0.263109,0.760750,0.973716,0.988241,0.993039,93.374484,
23,0.985715,0.968458,0.973195,0.990753,0.993980,0.265251,0.265251,0.763907,0.975785,0.988921,0.993059,93.524193,
24,0.987513,0.973607,0.977686,0.990559,0.994791,0.346116,0.346116,0.769352,0.978901,0.990827,0.995250,94.291452,
25,0.985044,0.969551,0.974674,0.987431,0.993626,0.440566,0.440566,0.765651,0.977080,0.989903,0.994302,93.757243,
26,0.984101,0.967160,0.975099,0.985621,0.993106,0.503512,0.503512,0.762724,0.974251,0.988126,0.993613,93.491334,
27,0.982226,0.966067,0.968303,0.985005,0.992505,0.565596,0.565596,0.756721,0.970318,0.985860,0.992342,92.951503,
28,0.982424,0.967723,0.971814,0.985801,0.990027,0.531563,0.571974,0.747651,0.965944,0.982819,0.990645,92.668851,
29,0.976161,0.959104,0.961401,0.981857,0.984907,0.531563,0.531563,0.726791,0.952411,0.974164,0.985293,90.474863,
