Frame,integer_adm2,integer_adm_scale0,integer_adm_scale1,integer_adm_scale2,integer_adm_scale3,integer_motion2,integer_motion,integer_vif_scale0,integer_vif_scale1,integer_vif_scale2,integer_vif_scale3,vmaf,
0,0.993782,0.986792,0.988552,0.995061,0.997675,0.000000,0.000000,0.888914,0.991588,0.996409,0.998190,95.694650,
1,0.994830,0.989222,0.990139,0.994977,0.998848,0.141548,0.152803,0.900391,0.994074,0.997593,0.998796,96.230292,
2,0.994824,0.989128,0.991053,0.995014,0.998378,0.137283,0.141548,0.904341,0.994698,0.997846,0.998650,96.226299,
3,0.995083,0.988734,0.990747,0.996418,0.998288,0.137283,0.137283,0.906166,0.995594,0.998298,0.998953,96.332252,
4,0.994964,0.989197,0.991488,0.996091,0.997707,0.173201,0.173201,0.905566,0.995282,0.998122,0.998886,96.340307,
5,0.994597,0.988669,0.991909,0.994721,0.997720,0.150192,0.206343,0.903024,0.994678,0.997945,0.999171,96.240483,
6,0.994829,0.989722,0.990451,0.994288,0.999022,0.150192,0.150192,0.898117,0.994335,0.997519,0.998691,96.231337,
7,0.993343,0.987473,0.987098,0.993546,0.998197,0.198175,0.198175,0.893262,0.993443,0.996949,0.997898,95.879359,
8,0.994479,0.987681,0.989780,0.995580,0.998186,0.200092,0.205264,0.893478,0.993490,0.997167,0.998110,96.156390,
9,0.991992,0.982620,0.986504,0.991468,0.998093,0.200092,0.200092,0.879436,0.991145,0.996096,0.997433,95.500564,
10,0.993612,0.982528,0.988418,0.994243,0.999255,0.208502,0.208502,0.880298,0.991007,0.995910,0.997509,95.861893,
11,0.991695,0.981132,0.986184,0.992426,0.997245,0.223990,0.223990,0.876884,0.989677,0.995362,0.997160,95.406399,
12,0.992539,0.982542,0.985337,0.992885,0.999051,0.215536,0.228705,0.871114,0.990273,0.996008,0.998050,95.682257,
13,0.990905,0.980002,0.983745,0.991609,0.997411,0.215536,0.215536,0.869378,0.989980,0.995520,0.997286,95.242411,
14,0.990394,0.976856,0.980771,0.992342,0.998067,0.287538,0.287538,0.862150,0.990149,0.995861,0.997889,95.293615,
15,0.989140,0.972373,0.978239,0.993133,0.996997,0.424631,0.424631,0.857546,0.990685,0.996041,0.997728,95.203715,
16,0.989650,0.980330,0.979764,0.991091,0.996521,0.533203,0.533203,0.856206,0.990382,0.995841,0.997755,95.452832,
17,0.988248,0.970260,0.975445,0.992367,0.997415,0.535552,0.535552,0.844688,0.990345,0.996008,0.997592,95.146423,
18,0.989670,0.975185,0.979236,0.993496,0.996819,0.514791,0.548226,0.836156,0.988693,0.995199,0.997544,95.381354,
19,0.986441,0.967021,0.968822,0.991470,0.998075,0.429396,0.514791,0.824754,0.986424,0.994226,0.996926,94.463510,
20,0.990772,0.976104,0.983601,0.993400,0.997286,0.338466,0.429396,0.830515,0.986641,0.994190,0.996657,95.260099,
21,0.987676,0.965425,0.977112,0.992073,0.997095,0.263109,0.338466,0.825494,0.985695,0.993924,0.996407,94.451043,
22,0.987942,0.970383,0.980415,0.990695,0.995467,0.263109,0.263109,0.828514,0.985322,0.993331,0.995882,94.437432,
23,0.987340,0.971873,0.975401,0.991557,0.995339,0.265251,0.265251,0.832849,0.986394,0.993719,0.996006,94.340553,
24,0.990133,0.978887,0.982184,0.992839,0.995835,0.346116,0.346116,0.837692,0.988260,0.994842,0.997569,95.239601,
25,0.987660,0.973425,0.975753,0.990560,0.996218,0.440566,0.440566,0.834728,0.987530,0.994633,0.997042,94.773628,
26,0.989563,0.976874,0.981107,0.990968,0.996976,0.503512,0.503512,0.833804,0.987097,0.994329,0.996769,95.234834,
27,0.987576,0.973853,0.973584,0.991589,0.996153,0.565596,0.565596,0.825868,0.984057,0.992745,0.995992,94.739775,
28,0.989173,0.973612,0.979216,0.993241,0.996202,0.531563,0.571974,0.824703,0.984205,0.993239,0.996725,95.123587,
29,0.984688,0.969370,0.973012,0.989836,0.991714,0.531563,0.531563,0.800677,0.975436,0.987728,0.992658,93.546659,
