Frame,integer_adm2,integer_adm_scale0,integer_adm_scale1,integer_adm_scale2,integer_adm_scale3,integer_motion2,integer_motion,integer_vif_scale0,integer_vif_scale1,integer_vif_scale2,integer_vif_scale3,vmaf,
0,0.996690,0.989694,0.992911,0.998565,0.999421,0.000000,0.000000,0.903333,0.995049,0.997912,0.998887,96.468959,
1,0.996618,0.990588,0.992165,0.998609,0.999291,0.141548,0.152803,0.907755,0.995433,0.997940,0.998824,96.645377,
2,0.996185,0.989988,0.991957,0.997941,0.998971,0.137283,0.141548,0.908787,0.995492,0.997988,0.998456,96.518325,
3,0.996020,0.989232,0.991159,0.998702,0.998634,0.137283,0.137283,0.909020,0.995278,0.997679,0.998544,96.474529,
4,0.996532,0.988822,0.992005,0.999120,0.999348,0.173201,0.173201,0.908044,0.995359,0.997898,0.998544,96.645294,
5,0.996009,0.988476,0.993146,0.997973,0.998388,0.150192,0.206343,0.907531,0.995193,0.997962,0.999105,96.546637,
6,0.996704,0.990054,0.991298,0.999364,0.999565,0.150192,0.150192,0.906242,0.995525,0.998147,0.998950,96.695565,
7,0.995540,0.988189,0.989818,0.997439,0.999360,0.198175,0.198175,0.904851,0.995538,0.998180,0.998990,96.512145,
8,0.996386,0.987637,0.990359,1.000118,0.999445,0.200092,0.205264,0.903607,0.995506,0.998104,0.998934,96.690908,
9,0.995934,0.987008,0.990717,0.998055,0.999814,0.200092,0.200092,0.900689,0.995129,0.998084,0.998976,96.592696,
10,0.995812,0.986141,0.991467,0.997638,0.999705,0.208502,0.208502,0.900336,0.994613,0.997599,0.998722,96.532632,
11,0.994616,0.985377,0.989093,0.996214,0.999120,0.223990,0.223990,0.898443,0.993985,0.997242,0.998463,96.253087,
12,0.995168,0.986852,0.988685,0.997049,0.999667,0.215536,0.228705,0.896698,0.994166,0.997533,0.998878,96.408896,
13,0.993668,0.984034,0.986335,0.997266,0.997744,0.215536,0.215536,0.893266,0.993605,0.997140,0.998143,96.002765,
14,0.993918,0.984353,0.987117,0.995636,0.999089,0.287538,0.287538,0.887269,0.993988,0.997662,0.998649,96.220728,
15,0.994859,0.983972,0.991392,0.996579,0.998791,0.424631,0.424631,0.880653,0.993409,0.997156,0.998389,96.565310,
16,0.992735,0.982589,0.985718,0.995103,0.997729,0.533203,0.533203,0.873065,0.992478,0.996839,0.998500,96.239092,
17,0.994043,0.981483,0.986911,0.997514,0.999078,0.535552,0.535552,0.870736,0.993290,0.997240,0.998002,96.509471,
18,0.994860,0.982100,0.990110,0.998630,0.998581,0.514791,0.548226,0.871832,0.993384,0.997232,0.998249,96.679385,
19,0.994707,0.981784,0.987836,0.998574,0.999551,0.429396,0.514791,0.865995,0.992458,0.996859,0.997937,96.484288,
20,0.993249,0.979350,0.987209,0.996473,0.998482,0.338466,0.429396,0.865460,0.990978,0.996060,0.997529,95.967791,
21,0.994482,0.981912,0.988953,0.997090,0.999485,0.263109,0.338466,0.870617,0.992026,0.996451,0.997777,96.176788,
22,0.994270,0.981658,0.988762,0.997396,0.998864,0.263109,0.263109,0.872366,0.992381,0.996607,0.997698,96.133009,
23,0.992993,0.979439,0.986421,0.997396,0.997482,0.265251,0.265251,0.867896,0.991718,0.996042,0.997037,95.776561,
24,0.993132,0.983040,0.987655,0.995844,0.997183,0.346116,0.346116,0.866992,0.991309,0.996015,0.997651,95.961985,
25,0.993624,0.983779,0.988545,0.994897,0.998495,0.440566,0.440566,0.866616,0.991493,0.996315,0.997756,96.219712,
26,0.992295,0.979768,0.984985,0.995947,0.997339,0.503512,0.503512,0.864699,0.990337,0.995429,0.997203,95.925374,
27,0.992784,0.982609,0.983892,0.996438,0.997872,0.565596,0.565596,0.869355,0.991697,0.996322,0.998162,96.239198,
28,0.993348,0.980946,0.987518,0.996868,0.997670,0.531563,0.571974,0.862513,0.989812,0.995490,0.997276,96.198753,
29,0.991098,0.978173,0.986237,0.993448,0.995988,0.531563,0.531563,0.851736,0.988299,0.994872,0.996956,95.648772,
