Picture Number:   20	 QP:   20  [ PSNR-Y: 48.01 dB,	PSNR-U: 49.11 dB,	PSNR-V: 50.60 dB,	MSE-Y: 1.03,	MSE-U: 0.80,	MSE-V: 0.57,	SSIM-Y: 0.99085,	SSIM-U: 0.98905,	SSIM-V: 0.99253 ]	      5 bytes
Picture Number:   21	 QP:   27  [ PSNR-Y: 48.04 dB,	PSNR-U: 49.05 dB,	PSNR-V: 50.64 dB,	MSE-Y: 1.02,	MSE-U: 0.81,	MSE-V: 0.56,	SSIM-Y: 0.99087,	SSIM-U: 0.98857,	SSIM-V: 0.99256 ]	     48 bytes
Picture Number:   22	 QP:   24  [ PSNR-Y: 48.05 dB,	PSNR-U: 49.21 dB,	PSNR-V: 50.74 dB,	MSE-Y: 1.02,	MSE-U: 0.78,	MSE-V: 0.55,	SSIM-Y: 0.99090,	SSIM-U: 0.98908,	SSIM-V: 0.99252 ]	      5 bytes
Picture Number:   23	 QP:   27  [ PSNR-Y: 48.02 dB,	PSNR-U: 48.97 dB,	PSNR-V: 50.54 dB,	MSE-Y: 1.03,	MSE-U: 0.82,	MSE-V: 0.57,	SSIM-Y: 0.99089,	SSIM-U: 0.98862,	SSIM-V: 0.99228 ]	     24 bytes
Picture Number:   24	 QP:   13  [ PSNR-Y: 48.05 dB,	PSNR-U: 49.13 dB,	PSNR-V: 50.72 dB,	MSE-Y: 1.02,	MSE-U: 0.79,	MSE-V: 0.55,	SSIM-Y: 0.99098,	SSIM-U: 0.98920,	SSIM-V: 0.99248 ]	      5 bytes
Picture Number:   25	 QP:   27  [ PSNR-Y: 47.97 dB,	PSNR-U: 49.11 dB,	PSNR-V: 50.68 dB,	MSE-Y: 1.04,	MSE-U: 0.80,	MSE-V: 0.56,	SSIM-Y: 0.99082,	SSIM-U: 0.98879,	SSIM-V: 0.99242 ]	     89 bytes
Picture Number:   26	 QP:   22  [ PSNR-Y: 47.97 dB,	PSNR-U: 49.10 dB,	PSNR-V: 50.55 dB,	MSE-Y: 1.04,	MSE-U: 0.80,	MSE-V: 0.57,	SSIM-Y: 0.99091,	SSIM-U: 0.98889,	SSIM-V: 0.99233 ]	      5 bytes
Picture Number:   27	 QP:   27  [ PSNR-Y: 47.87 dB,	PSNR-U: 48.90 dB,	PSNR-V: 50.13 dB,	MSE-Y: 1.06,	MSE-U: 0.84,	MSE-V: 0.63,	SSIM-Y: 0.99086,	SSIM-U: 0.98840,	SSIM-V: 0.99247 ]	     25 bytes
Picture Number:   28	 QP:   17  [ PSNR-Y: 47.76 dB,	PSNR-U: 49.21 dB,	PSNR-V: 50.53 dB,	MSE-Y: 1.09,	MSE-U: 0.78,	MSE-V: 0.57,	SSIM-Y: 0.99089,	SSIM-U: 0.98906,	SSIM-V: 0.99247 ]	      5 bytes
Picture Number:   29	 QP:   27  [ PSNR-Y: 47.74 dB,	PSNR-U: 49.16 dB,	PSNR-V: 50.77 dB,	MSE-Y: 1.09,	MSE-U: 0.79,	MSE-V: 0.54,	SSIM-Y: 0.99076,	SSIM-U: 0.98910,	SSIM-V: 0.99251 ]	     33 bytes

SUMMARY ---------------------------------------------------------------------

				Average PSNR (using per-frame PSNR)		|	Overall PSNR (using per-frame MSE)		|	Average SSIM
Total Frames	Average QP  	Y-PSNR   	U-PSNR   	V-PSNR		| 	Y-PSNR   	U-PSNR   	V-PSNR   	|	Y-SSIM   	U-SSIM   	V-SSIM   	|	Bitrate
        30  	   23.50    	48.13 dB	49.13 dB	50.66 dB  	|	48.13 dB	49.12 dB	50.66 dB 	|	0.99102 	0.98895 	0.99256		|	117.73 kbps
