Picture Number:   20	 QP:   31  [ PSNR-Y: 46.78 dB,	PSNR-U: 48.39 dB,	PSNR-V: 49.73 dB,	MSE-Y: 1.37,	MSE-U: 0.94,	MSE-V: 0.69,	SSIM-Y: 0.98945,	SSIM-U: 0.98741,	SSIM-V: 0.99134 ]	      5 bytes
Picture Number:   21	 QP:   37  [ PSNR-Y: 46.77 dB,	PSNR-U: 48.51 dB,	PSNR-V: 49.70 dB,	MSE-Y: 1.37,	MSE-U: 0.92,	MSE-V: 0.70,	SSIM-Y: 0.98943,	SSIM-U: 0.98736,	SSIM-V: 0.99130 ]	     47 bytes
Picture Number:   22	 QP:   34  [ PSNR-Y: 46.78 dB,	PSNR-U: 48.51 dB,	PSNR-V: 49.90 dB,	MSE-Y: 1.36,	MSE-U: 0.92,	MSE-V: 0.67,	SSIM-Y: 0.98952,	SSIM-U: 0.98755,	SSIM-V: 0.99123 ]	      5 bytes
Picture Number:   23	 QP:   37  [ PSNR-Y: 46.75 dB,	PSNR-U: 48.32 dB,	PSNR-V: 49.76 dB,	MSE-Y: 1.38,	MSE-U: 0.96,	MSE-V: 0.69,	SSIM-Y: 0.98945,	SSIM-U: 0.98734,	SSIM-V: 0.99108 ]	     24 bytes
Picture Number:   24	 QP:   24  [ PSNR-Y: 46.78 dB,	PSNR-U: 48.43 dB,	PSNR-V: 49.90 dB,	MSE-Y: 1.36,	MSE-U: 0.93,	MSE-V: 0.66,	SSIM-Y: 0.98955,	SSIM-U: 0.98776,	SSIM-V: 0.99130 ]	      5 bytes
Picture Number:   25	 QP:   37  [ PSNR-Y: 46.74 dB,	PSNR-U: 48.49 dB,	PSNR-V: 49.79 dB,	MSE-Y: 1.38,	MSE-U: 0.92,	MSE-V: 0.68,	SSIM-Y: 0.98937,	SSIM-U: 0.98748,	SSIM-V: 0.99116 ]	     81 bytes
Picture Number:   26	 QP:   33  [ PSNR-Y: 46.75 dB,	PSNR-U: 48.43 dB,	PSNR-V: 49.68 dB,	MSE-Y: 1.38,	MSE-U: 0.93,	MSE-V: 0.70,	SSIM-Y: 0.98955,	SSIM-U: 0.98727,	SSIM-V: 0.99105 ]	      5 bytes
Picture Number:   27	 QP:   37  [ PSNR-Y: 46.67 dB,	PSNR-U: 48.40 dB,	PSNR-V: 49.25 dB,	MSE-Y: 1.40,	MSE-U: 0.94,	MSE-V: 0.77,	SSIM-Y: 0.98953,	SSIM-U: 0.98724,	SSIM-V: 0.99117 ]	     25 bytes
Picture Number:   28	 QP:   28  [ PSNR-Y: 46.57 dB,	PSNR-U: 48.47 dB,	PSNR-V: 49.67 dB,	MSE-Y: 1.43,	MSE-U: 0.92,	MSE-V: 0.70,	SSIM-Y: 0.98952,	SSIM-U: 0.98747,	SSIM-V: 0.99128 ]	      5 bytes
Picture Number:   29	 QP:   37  [ PSNR-Y: 46.42 dB,	PSNR-U: 48.48 dB,	PSNR-V: 49.92 dB,	MSE-Y: 1.48,	MSE-U: 0.92,	MSE-V: 0.66,	SSIM-Y: 0.98939,	SSIM-U: 0.98788,	SSIM-V: 0.99134 ]	     25 bytes

SUMMARY ---------------------------------------------------------------------

				Average PSNR (using per-frame PSNR)		|	Overall PSNR (using per-frame MSE)		|	Average SSIM
Total Frames	Average QP  	Y-PSNR   	U-PSNR   	V-PSNR		| 	Y-PSNR   	U-PSNR   	V-PSNR   	|	Y-SSIM   	U-SSIM   	V-SSIM   	|	Bitrate
        30  	   33.43    	46.82 dB	48.45 dB	49.77 dB  	|	46.82 dB	48.45 dB	49.77 dB 	|	0.98954 	0.98751 	0.99131		|	82.53 kbps
