Frame,integer_adm2,integer_adm_scale0,integer_adm_scale1,integer_adm_scale2,integer_adm_scale3,integer_motion2,integer_motion,integer_vif_scale0,integer_vif_scale1,integer_vif_scale2,integer_vif_scale3,vmaf,
0,0.996310,0.990923,0.994902,0.996884,0.998303,0.000000,0.000000,0.872809,0.994603,0.997903,0.998564,96.358799,
1,0.993197,0.986863,0.989000,0.993404,0.997154,0.141548,0.152803,0.841553,0.991282,0.996607,0.998075,95.764603,
2,0.992188,0.985771,0.987747,0.992270,0.996386,0.137283,0.141548,0.840293,0.990267,0.995971,0.997707,95.476680,
3,0.992350,0.984921,0.987225,0.993133,0.996699,0.137283,0.137283,0.840253,0.990918,0.996287,0.997948,95.548553,
4,0.992434,0.985295,0.988801,0.991832,0.996954,0.173201,0.173201,0.839081,0.990503,0.996198,0.997631,95.584080,
5,0.991151,0.983620,0.986861,0.990463,0.996169,0.150192,0.206343,0.834596,0.988919,0.995412,0.997589,95.228947,
6,0.991616,0.983991,0.986254,0.991169,0.997028,0.150192,0.150192,0.831810,0.989170,0.995461,0.997573,95.332957,
7,0.991196,0.984159,0.985322,0.990828,0.996653,0.198175,0.198175,0.832616,0.989241,0.995580,0.997343,95.293159,
8,0.992581,0.985717,0.988552,0.992028,0.997188,0.200092,0.205264,0.837986,0.991032,0.996306,0.997871,95.679232,
9,0.990437,0.982171,0.986899,0.987809,0.996764,0.200092,0.200092,0.827377,0.988673,0.995381,0.997348,95.121127,
10,0.991194,0.981613,0.987944,0.990098,0.996658,0.208502,0.208502,0.827343,0.988736,0.995102,0.997057,95.261588,
11,0.990012,0.980699,0.986026,0.988612,0.995967,0.223990,0.223990,0.825706,0.986953,0.994346,0.996824,94.964727,
12,0.991968,0.981538,0.987313,0.992010,0.997559,0.215536,0.228705,0.825112,0.988229,0.995359,0.997536,95.487557,
13,0.989897,0.979383,0.982712,0.991553,0.995597,0.215536,0.215536,0.822904,0.986102,0.993988,0.996705,94.899748,
14,0.990258,0.979324,0.983390,0.990599,0.996904,0.287538,0.287538,0.821244,0.987195,0.994784,0.997507,95.180267,
15,0.990912,0.977617,0.984318,0.993435,0.996587,0.424631,0.424631,0.819368,0.987925,0.995043,0.997618,95.530630,
16,0.992640,0.984632,0.988503,0.993446,0.996667,0.533203,0.533203,0.835362,0.990588,0.995940,0.997302,96.076117,
17,0.988058,0.971835,0.978663,0.990069,0.996509,0.535552,0.535552,0.807275,0.985433,0.993836,0.996201,94.882329,
18,0.986518,0.967643,0.975247,0.989766,0.995946,0.514791,0.548226,0.791681,0.982757,0.992894,0.996054,94.460185,
19,0.987685,0.972521,0.981630,0.987094,0.996179,0.429396,0.514791,0.795286,0.983195,0.993040,0.996049,94.606863,
20,0.990176,0.977231,0.986380,0.989904,0.996565,0.338466,0.429396,0.805492,0.984943,0.993649,0.996258,95.075039,
21,0.989214,0.971568,0.983498,0.990004,0.997346,0.263109,0.338466,0.801282,0.983636,0.993197,0.996191,94.735617,
22,0.988441,0.975209,0.983654,0.988564,0.995130,0.263109,0.263109,0.804134,0.983864,0.993211,0.995815,94.537782,
23,0.989534,0.975441,0.984442,0.991519,0.995270,0.265251,0.265251,0.806148,0.984683,0.993445,0.995916,94.799826,
24,0.992811,0.984496,0.989811,0.993153,0.996820,0.346116,0.346116,0.825700,0.989276,0.995460,0.997529,95.854978,
25,0.989094,0.976436,0.983428,0.989604,0.995779,0.440566,0.440566,0.808567,0.985188,0.993798,0.996415,94.994948,
26,0.988317,0.975677,0.984306,0.988275,0.994560,0.503512,0.503512,0.804053,0.983677,0.992631,0.995830,94.805545,
27,0.987642,0.976417,0.977876,0.988800,0.995420,0.565596,0.565596,0.797951,0.981640,0.991434,0.994981,94.613067,
28,0.989557,0.978864,0.983124,0.989661,0.996209,0.531563,0.571974,0.801810,0.983569,0.992902,0.996010,95.139462,
29,0.982759,0.972852,0.973321,0.982126,0.991255,0.531563,0.531563,0.783947,0.975225,0.988320,0.993340,93.215560,
