Frame,integer_adm2,integer_adm_scale0,integer_adm_scale1,integer_adm_scale2,integer_adm_scale3,integer_motion2,integer_motion,integer_vif_scale0,integer_vif_scale1,integer_vif_scale2,integer_vif_scale3,vmaf,
0,0.998396,0.995416,0.997780,0.998707,0.999422,0.000000,0.000000,0.941371,0.998240,0.999295,0.999696,96.989693,
1,0.996126,0.991572,0.992170,0.996933,0.998956,0.141548,0.152803,0.898575,0.995848,0.998392,0.999627,96.624228,
2,0.995411,0.991007,0.991742,0.996152,0.998096,0.137283,0.141548,0.898572,0.995308,0.997974,0.999249,96.410643,
3,0.994929,0.989215,0.990493,0.996406,0.997877,0.137283,0.137283,0.898933,0.995517,0.998053,0.998843,96.277972,
4,0.995137,0.990987,0.991969,0.995946,0.997446,0.173201,0.173201,0.900931,0.995480,0.998144,0.998789,96.371919,
5,0.994274,0.989731,0.992078,0.994182,0.996870,0.150192,0.206343,0.897249,0.994605,0.997694,0.999009,96.145075,
6,0.993723,0.989560,0.988262,0.993495,0.997931,0.150192,0.150192,0.891291,0.993800,0.997131,0.998480,95.953288,
7,0.994473,0.989553,0.989703,0.994203,0.998630,0.198175,0.198175,0.894573,0.994467,0.997491,0.998440,96.198432,
8,0.996812,0.992103,0.995032,0.996885,0.999148,0.200092,0.205264,0.913725,0.996733,0.998579,0.999266,96.839459,
9,0.994131,0.988223,0.990493,0.993067,0.998607,0.200092,0.200092,0.892837,0.994509,0.997686,0.998944,96.175763,
10,0.995170,0.989118,0.993042,0.994047,0.998974,0.208502,0.208502,0.894542,0.994928,0.997780,0.998884,96.415237,
11,0.994399,0.986826,0.992127,0.994228,0.998049,0.223990,0.223990,0.891380,0.994157,0.997502,0.998412,96.214004,
12,0.995624,0.989676,0.992217,0.996355,0.998674,0.215536,0.228705,0.896490,0.995231,0.998142,0.999041,96.554229,
13,0.995096,0.987570,0.991280,0.995842,0.998832,0.215536,0.215536,0.889242,0.993895,0.997373,0.998290,96.337461,
14,0.995073,0.987663,0.990284,0.995498,0.999504,0.287538,0.287538,0.887532,0.994510,0.997895,0.999030,96.516163,
15,0.993667,0.983667,0.988922,0.993975,0.999001,0.424631,0.424631,0.880945,0.993913,0.997624,0.998888,96.369026,
16,0.997675,0.992145,0.996538,0.997875,0.999853,0.533203,0.533203,0.921030,0.997425,0.998962,0.999155,97.496472,
17,0.993611,0.982818,0.986120,0.996097,0.999004,0.535552,0.535552,0.878605,0.993938,0.997555,0.998362,96.461906,
18,0.995514,0.985560,0.991205,0.997038,0.999788,0.514791,0.548226,0.879236,0.993974,0.997485,0.998642,96.868012,
19,0.994359,0.984026,0.985817,0.997673,0.999641,0.429396,0.514791,0.873606,0.993494,0.997355,0.998380,96.471364,
20,0.995673,0.988072,0.991911,0.997167,0.998974,0.338466,0.429396,0.890992,0.994481,0.997424,0.998260,96.633412,
21,0.993668,0.983384,0.987348,0.995603,0.998828,0.263109,0.338466,0.878386,0.993130,0.996887,0.998098,96.049864,
22,0.993415,0.985104,0.988226,0.994451,0.998007,0.263109,0.263109,0.878449,0.992602,0.996745,0.997666,95.951283,
23,0.993966,0.985279,0.989928,0.995951,0.997386,0.265251,0.265251,0.880984,0.993666,0.997331,0.997886,96.123463,
24,0.996942,0.991682,0.995668,0.997506,0.998894,0.346116,0.346116,0.912848,0.997217,0.998958,0.999288,97.088560,
25,0.992980,0.983134,0.988239,0.993990,0.997880,0.440566,0.440566,0.876722,0.993496,0.997594,0.998915,96.239497,
26,0.994584,0.986526,0.991895,0.995325,0.998039,0.503512,0.503512,0.880555,0.993715,0.997290,0.998647,96.640286,
27,0.993007,0.985887,0.986278,0.994361,0.997741,0.565596,0.565596,0.874204,0.993485,0.997498,0.998782,96.399298,
28,0.995024,0.989170,0.992886,0.995180,0.997888,0.531563,0.571974,0.889271,0.995039,0.998240,0.999301,96.876762,
29,0.992635,0.983966,0.988079,0.994068,0.996683,0.531563,0.531563,0.865359,0.990857,0.996192,0.998025,96.139946,
