Frame,integer_adm2,integer_adm_scale0,integer_adm_scale1,integer_adm_scale2,integer_adm_scale3,integer_motion2,integer_motion,integer_vif_scale0,integer_vif_scale1,integer_vif_scale2,integer_vif_scale3,vmaf,
0,0.998754,0.995786,0.998281,0.999005,0.999751,0.000000,0.000000,0.939882,0.998471,0.999580,0.999855,97.094302,
1,0.995652,0.991111,0.991685,0.996504,0.998449,0.141548,0.152803,0.896651,0.995647,0.998337,0.999093,96.474604,
2,0.995423,0.990011,0.991955,0.996319,0.998214,0.137283,0.141548,0.896802,0.995412,0.998196,0.999020,96.405354,
3,0.995261,0.989793,0.990663,0.997049,0.997982,0.137283,0.137283,0.896269,0.995260,0.997956,0.999056,96.361504,
4,0.995564,0.990195,0.992706,0.996397,0.998088,0.173201,0.173201,0.898512,0.995548,0.998314,0.999270,96.511316,
5,0.994956,0.989366,0.991504,0.995474,0.998065,0.150192,0.206343,0.896664,0.995223,0.998318,0.999400,96.356265,
6,0.995336,0.990272,0.991384,0.995241,0.998980,0.150192,0.150192,0.895494,0.995123,0.998044,0.999050,96.398188,
7,0.994944,0.989815,0.991603,0.994756,0.998389,0.198175,0.198175,0.895710,0.994955,0.997913,0.998731,96.345776,
8,0.997151,0.992757,0.995500,0.996987,0.999496,0.200092,0.205264,0.912311,0.996931,0.998969,0.999570,96.956004,
9,0.995780,0.989185,0.993868,0.994994,0.999408,0.200092,0.200092,0.892749,0.995260,0.998374,0.999335,96.601052,
10,0.995780,0.988504,0.993620,0.995800,0.999151,0.208502,0.208502,0.892786,0.995160,0.998106,0.998937,96.568238,
11,0.994530,0.986469,0.992147,0.996066,0.997144,0.223990,0.223990,0.890111,0.994425,0.997830,0.998622,96.275533,
12,0.995578,0.988653,0.991358,0.998094,0.998039,0.215536,0.228705,0.893072,0.995172,0.998309,0.999381,96.578421,
13,0.994099,0.987528,0.988777,0.995697,0.997666,0.215536,0.215536,0.886296,0.993856,0.997449,0.998626,96.150250,
14,0.993696,0.988491,0.988366,0.993898,0.997864,0.287538,0.287538,0.885278,0.994071,0.997611,0.998631,96.169008,
15,0.994086,0.986583,0.989753,0.995264,0.997779,0.424631,0.424631,0.885084,0.994305,0.997610,0.998826,96.456974,
16,0.997019,0.992579,0.995615,0.997105,0.999072,0.533203,0.533203,0.918724,0.997186,0.998676,0.999332,97.352768,
17,0.992260,0.979567,0.984273,0.994836,0.998445,0.535552,0.535552,0.871763,0.993443,0.997362,0.998374,96.157056,
18,0.995082,0.985949,0.991423,0.995685,0.999450,0.514791,0.548226,0.877082,0.994201,0.997602,0.998507,96.769466,
19,0.994687,0.986079,0.989496,0.996767,0.998604,0.429396,0.514791,0.874498,0.994347,0.997814,0.998636,96.588353,
20,0.995380,0.989214,0.993094,0.996316,0.997871,0.338466,0.429396,0.886094,0.994726,0.997846,0.998445,96.604447,
21,0.993635,0.984227,0.988180,0.995835,0.997866,0.263109,0.338466,0.876387,0.993408,0.997244,0.998036,96.055237,
22,0.994655,0.985708,0.991241,0.996416,0.998006,0.263109,0.263109,0.877849,0.993742,0.997692,0.998442,96.331706,
23,0.993510,0.986450,0.989007,0.994721,0.997217,0.265251,0.265251,0.879258,0.993533,0.997179,0.998390,96.056808,
24,0.996844,0.992104,0.995365,0.997554,0.998619,0.346116,0.346116,0.911519,0.997255,0.999080,0.999453,97.085851,
25,0.992285,0.985257,0.986414,0.992330,0.997574,0.440566,0.440566,0.875793,0.993374,0.997617,0.998875,96.085233,
26,0.993588,0.986361,0.991121,0.993714,0.997130,0.503512,0.503512,0.878173,0.993571,0.997118,0.998161,96.375770,
27,0.992434,0.985164,0.987173,0.993375,0.996782,0.565596,0.565596,0.872679,0.992762,0.996990,0.998290,96.208475,
28,0.994693,0.988367,0.990347,0.995739,0.998160,0.531563,0.571974,0.886982,0.994877,0.997934,0.998846,96.753400,
29,0.994306,0.984725,0.988430,0.996565,0.998699,0.531563,0.531563,0.864630,0.991983,0.996777,0.998276,96.556114,
