Picture Number:   20	 QP:   32  [ PSNR-Y: 47.55 dB,	PSNR-U: 49.12 dB,	PSNR-V: 50.50 dB,	MSE-Y: 1.14,	MSE-U: 0.80,	MSE-V: 0.58,	SSIM-Y: 0.99036,	SSIM-U: 0.98914,	SSIM-V: 0.99240 ]	      5 bytes
Picture Number:   21	 QP:   37  [ PSNR-Y: 47.61 dB,	PSNR-U: 49.03 dB,	PSNR-V: 50.49 dB,	MSE-Y: 1.13,	MSE-U: 0.81,	MSE-V: 0.58,	SSIM-Y: 0.99042,	SSIM-U: 0.98870,	SSIM-V: 0.99241 ]	     46 bytes
Picture Number:   22	 QP:   35  [ PSNR-Y: 47.59 dB,	PSNR-U: 49.18 dB,	PSNR-V: 50.66 dB,	MSE-Y: 1.13,	MSE-U: 0.78,	MSE-V: 0.56,	SSIM-Y: 0.99044,	SSIM-U: 0.98899,	SSIM-V: 0.99236 ]	      5 bytes
Picture Number:   23	 QP:   37  [ PSNR-Y: 47.53 dB,	PSNR-U: 48.91 dB,	PSNR-V: 50.48 dB,	MSE-Y: 1.15,	MSE-U: 0.84,	MSE-V: 0.58,	SSIM-Y: 0.99038,	SSIM-U: 0.98849,	SSIM-V: 0.99219 ]	     23 bytes
Picture Number:   24	 QP:   26  [ PSNR-Y: 47.60 dB,	PSNR-U: 49.09 dB,	PSNR-V: 50.67 dB,	MSE-Y: 1.13,	MSE-U: 0.80,	MSE-V: 0.56,	SSIM-Y: 0.99042,	SSIM-U: 0.98904,	SSIM-V: 0.99244 ]	      5 bytes
Picture Number:   25	 QP:   37  [ PSNR-Y: 47.53 dB,	PSNR-U: 49.05 dB,	PSNR-V: 50.60 dB,	MSE-Y: 1.15,	MSE-U: 0.81,	MSE-V: 0.57,	SSIM-Y: 0.99028,	SSIM-U: 0.98879,	SSIM-V: 0.99235 ]	     24 bytes
Picture Number:   26	 QP:   35  [ PSNR-Y: 47.57 dB,	PSNR-U: 49.07 dB,	PSNR-V: 50.50 dB,	MSE-Y: 1.14,	MSE-U: 0.81,	MSE-V: 0.58,	SSIM-Y: 0.99047,	SSIM-U: 0.98899,	SSIM-V: 0.99226 ]	     24 bytes
Picture Number:   27	 QP:   37  [ PSNR-Y: 47.47 dB,	PSNR-U: 48.89 dB,	PSNR-V: 49.97 dB,	MSE-Y: 1.16,	MSE-U: 0.84,	MSE-V: 0.65,	SSIM-Y: 0.99038,	SSIM-U: 0.98847,	SSIM-V: 0.99228 ]	     24 bytes
Picture Number:   28	 QP:   32  [ PSNR-Y: 47.39 dB,	PSNR-U: 49.14 dB,	PSNR-V: 50.46 dB,	MSE-Y: 1.19,	MSE-U: 0.79,	MSE-V: 0.59,	SSIM-Y: 0.99046,	SSIM-U: 0.98897,	SSIM-V: 0.99235 ]	     24 bytes
Picture Number:   29	 QP:   37  [ PSNR-Y: 47.20 dB,	PSNR-U: 49.13 dB,	PSNR-V: 50.63 dB,	MSE-Y: 1.24,	MSE-U: 0.79,	MSE-V: 0.56,	SSIM-Y: 0.99032,	SSIM-U: 0.98912,	SSIM-V: 0.99238 ]	     24 bytes

SUMMARY ---------------------------------------------------------------------

				Average PSNR (using per-frame PSNR)		|	Overall PSNR (using per-frame MSE)		|	Average SSIM
Total Frames	Average QP  	Y-PSNR   	U-PSNR   	V-PSNR		| 	Y-PSNR   	U-PSNR   	V-PSNR   	|	Y-SSIM   	U-SSIM   	V-SSIM   	|	Bitrate
        30  	   34.00    	47.66 dB	49.08 dB	50.54 dB  	|	47.66 dB	49.08 dB	50.53 dB 	|	0.99052 	0.98889 	0.99240		|	92.54 kbps
