Frame,integer_adm2,integer_adm_scale0,integer_adm_scale1,integer_adm_scale2,integer_adm_scale3,integer_motion2,integer_motion,integer_vif_scale0,integer_vif_scale1,integer_vif_scale2,integer_vif_scale3,vmaf,
0,0.986904,0.980817,0.981321,0.987512,0.992079,0.000000,0.000000,0.818348,0.981567,0.991890,0.994810,93.695974,
1,0.983939,0.978538,0.978910,0.983819,0.989109,0.367927,0.369508,0.802206,0.976413,0.988914,0.993383,93.280934,
2,0.983913,0.978758,0.977849,0.982613,0.990563,0.361249,0.367927,0.802025,0.976552,0.988673,0.992942,93.221124,
3,0.983804,0.978459,0.977386,0.983516,0.989899,0.361249,0.361249,0.800236,0.976126,0.988730,0.993344,93.231145,
4,0.984206,0.978121,0.978621,0.984057,0.990004,0.362707,0.372621,0.801285,0.976134,0.988714,0.993766,93.352810,
5,0.984502,0.978448,0.979199,0.985448,0.989221,0.362601,0.362707,0.799447,0.975714,0.988275,0.992954,93.331594,
6,0.984995,0.978260,0.978125,0.985074,0.991610,0.360057,0.362601,0.799549,0.976012,0.988568,0.993163,93.466148,
7,0.984447,0.978793,0.978741,0.984623,0.989879,0.357408,0.360057,0.800146,0.976174,0.988802,0.993251,93.361553,
8,0.983683,0.978734,0.978178,0.983198,0.989249,0.357408,0.357408,0.799792,0.974965,0.987800,0.993367,93.155440,
9,0.984726,0.978382,0.978275,0.986147,0.989832,0.371395,0.385095,0.799905,0.975947,0.988473,0.993279,93.427473,
10,0.984375,0.979102,0.978570,0.984375,0.989846,0.361290,0.371395,0.801309,0.976160,0.988373,0.992419,93.264992,
11,0.984149,0.978558,0.977190,0.984575,0.990070,0.361290,0.361290,0.800518,0.976509,0.988997,0.994053,93.376044,
12,0.983793,0.978998,0.978300,0.983338,0.989264,0.361835,0.363956,0.800041,0.976031,0.988101,0.993114,93.182796,
13,0.984925,0.978881,0.978119,0.985320,0.990966,0.361835,0.361835,0.800910,0.975719,0.988526,0.993674,93.490365,
14,0.985001,0.979193,0.979961,0.986320,0.989160,0.362634,0.362634,0.802120,0.976854,0.988653,0.993034,93.466980,
15,0.984348,0.978801,0.978322,0.984535,0.989903,0.366010,0.370648,0.800157,0.976393,0.988673,0.993569,93.372214,
16,0.984277,0.978126,0.978770,0.984848,0.989467,0.365975,0.366010,0.800201,0.977177,0.989465,0.993715,93.407018,
17,0.984879,0.978812,0.978750,0.984663,0.991045,0.365975,0.365975,0.801453,0.977227,0.989455,0.993891,93.551018,
18,0.985351,0.978146,0.978930,0.984386,0.992761,0.368961,0.370598,0.801360,0.977396,0.989694,0.993942,93.672813,
19,0.984293,0.978520,0.978893,0.985104,0.989065,0.368961,0.368961,0.801354,0.978154,0.990068,0.993790,93.450897,
20,0.984695,0.979369,0.977810,0.984762,0.990754,0.370173,0.371992,0.801436,0.977254,0.989714,0.994239,93.556166,
21,0.984611,0.979227,0.978377,0.984119,0.990779,0.356080,0.370173,0.800837,0.977647,0.989902,0.993307,93.454941,
22,0.983928,0.979025,0.977655,0.984822,0.988778,0.356080,0.356080,0.800773,0.976078,0.988669,0.992887,93.211532,
23,0.984896,0.978876,0.977565,0.985216,0.991291,0.362690,0.363434,0.801730,0.977148,0.989630,0.994311,93.591273,
24,0.985174,0.978497,0.979236,0.985560,0.990966,0.362690,0.362690,0.802041,0.976829,0.989579,0.994032,93.625284,
25,0.983710,0.978625,0.977357,0.983898,0.989261,0.363994,0.363994,0.799959,0.976741,0.989372,0.993938,93.293177,
26,0.983737,0.978395,0.978272,0.983935,0.988875,0.365735,0.365735,0.800732,0.976978,0.989339,0.994348,93.333211,
27,0.984383,0.978471,0.979130,0.984306,0.989849,0.373717,0.374079,0.801225,0.977172,0.989775,0.994263,93.497289,
28,0.984849,0.978773,0.977231,0.985613,0.991069,0.366677,0.373717,0.801574,0.978032,0.990948,0.995793,93.767414,
29,0.984759,0.978939,0.978351,0.984603,0.990925,0.366677,0.366677,0.800359,0.977562,0.989916,0.994430,93.591292,
