Frame,integer_adm2,integer_adm_scale0,integer_adm_scale1,integer_adm_scale2,integer_adm_scale3,integer_motion2,integer_motion,integer_vif_scale0,integer_vif_scale1,integer_vif_scale2,integer_vif_scale3,vmaf,
0,0.974268,0.968057,0.964340,0.972155,0.984227,0.000000,0.000000,0.722277,0.951005,0.974307,0.984699,89.333776,
1,0.972593,0.967163,0.964380,0.970266,0.981416,0.367927,0.369508,0.718097,0.947266,0.971931,0.983511,89.245289,
2,0.972807,0.967575,0.964020,0.969313,0.982863,0.361249,0.367927,0.717947,0.947126,0.971205,0.982224,89.148644,
3,0.973176,0.966598,0.962360,0.970997,0.983858,0.361249,0.361249,0.716497,0.946296,0.971166,0.982798,89.271209,
4,0.972908,0.966510,0.964408,0.970673,0.982225,0.362707,0.372621,0.716434,0.946185,0.971562,0.983507,89.288585,
5,0.973191,0.967290,0.963808,0.970949,0.982810,0.362601,0.362707,0.716037,0.945741,0.970703,0.981669,89.165125,
6,0.973264,0.966951,0.963663,0.970462,0.983649,0.360057,0.362601,0.715880,0.945697,0.970846,0.983077,89.295473,
7,0.972932,0.966752,0.962721,0.969939,0.983779,0.357408,0.360057,0.715657,0.945806,0.970744,0.982312,89.155967,
8,0.973260,0.967034,0.964744,0.968992,0.984185,0.357408,0.357408,0.717694,0.945514,0.970894,0.983013,89.285775,
9,0.973157,0.966548,0.963492,0.971964,0.982364,0.371395,0.385095,0.715577,0.945585,0.970513,0.982440,89.222145,
10,0.971896,0.967564,0.962764,0.969088,0.981210,0.361290,0.371395,0.716886,0.945247,0.970015,0.981522,88.840448,
11,0.972628,0.967311,0.961677,0.969426,0.983724,0.361290,0.361290,0.716394,0.945989,0.970849,0.983113,89.163394,
12,0.971930,0.967340,0.962276,0.969511,0.981327,0.361835,0.363956,0.716772,0.946318,0.970524,0.982187,88.926609,
13,0.972980,0.967681,0.962469,0.970862,0.982922,0.361835,0.361835,0.717114,0.946668,0.971592,0.983237,89.283621,
14,0.972695,0.967026,0.963818,0.971677,0.980915,0.362634,0.362634,0.718323,0.947269,0.971308,0.982457,89.149405,
15,0.972824,0.967118,0.962966,0.971251,0.982092,0.366010,0.370648,0.716773,0.946802,0.971830,0.983994,89.326476,
16,0.973079,0.966504,0.962767,0.970992,0.983392,0.365975,0.366010,0.716850,0.947106,0.971523,0.982993,89.289511,
17,0.973110,0.967569,0.962800,0.971184,0.982877,0.365975,0.365975,0.717964,0.947969,0.972296,0.984275,89.433231,
18,0.973802,0.966765,0.965478,0.971462,0.983372,0.368961,0.370598,0.718198,0.947353,0.972021,0.983427,89.504886,
19,0.973370,0.966535,0.963354,0.972585,0.982534,0.368961,0.368961,0.718073,0.947974,0.972270,0.983546,89.433898,
20,0.973117,0.967586,0.964055,0.969449,0.983582,0.370173,0.371992,0.718524,0.947282,0.972138,0.983901,89.400865,
21,0.973115,0.967160,0.963852,0.971006,0.982587,0.356080,0.370173,0.718144,0.947372,0.971870,0.983229,89.317788,
22,0.972412,0.967262,0.962540,0.970735,0.981537,0.356080,0.356080,0.718271,0.947330,0.971705,0.982834,89.127310,
23,0.973177,0.967121,0.963407,0.973166,0.981261,0.362690,0.363434,0.718372,0.947949,0.972662,0.984344,89.464374,
24,0.973568,0.967118,0.963756,0.972222,0.982915,0.362690,0.362690,0.719518,0.948011,0.973430,0.984858,89.622149,
25,0.972222,0.966991,0.963298,0.970675,0.980734,0.363994,0.363994,0.717695,0.947786,0.973045,0.984757,89.309850,
26,0.972413,0.966792,0.963343,0.970144,0.981764,0.365735,0.365735,0.718701,0.948212,0.972931,0.984940,89.363092,
27,0.972885,0.967149,0.965538,0.970188,0.981635,0.373717,0.374079,0.719419,0.948415,0.973558,0.985214,89.524198,
28,0.973413,0.967208,0.963512,0.972700,0.982214,0.366677,0.373717,0.719449,0.949269,0.974641,0.986341,89.768720,
29,0.973750,0.966984,0.964698,0.971998,0.983132,0.366677,0.366677,0.718571,0.949060,0.973866,0.985002,89.701320,
