Picture Number:   20	 QP:   18  [ PSNR-Y: 48.45 dB,	PSNR-U: 49.02 dB,	PSNR-V: 50.40 dB,	MSE-Y: 0.93,	MSE-U: 0.81,	MSE-V: 0.59,	SSIM-Y: 0.99137,	SSIM-U: 0.98869,	SSIM-V: 0.99168 ]	      5 bytes
Picture Number:   21	 QP:   22  [ PSNR-Y: 48.45 dB,	PSNR-U: 46.76 dB,	PSNR-V: 48.84 dB,	MSE-Y: 0.93,	MSE-U: 1.37,	MSE-V: 0.85,	SSIM-Y: 0.99139,	SSIM-U: 0.98023,	SSIM-V: 0.98794 ]	     59 bytes
Picture Number:   22	 QP:   20  [ PSNR-Y: 48.49 dB,	PSNR-U: 49.10 dB,	PSNR-V: 50.21 dB,	MSE-Y: 0.92,	MSE-U: 0.80,	MSE-V: 0.62,	SSIM-Y: 0.99142,	SSIM-U: 0.98869,	SSIM-V: 0.99172 ]	      5 bytes
Picture Number:   23	 QP:   22  [ PSNR-Y: 48.43 dB,	PSNR-U: 46.60 dB,	PSNR-V: 48.36 dB,	MSE-Y: 0.93,	MSE-U: 1.42,	MSE-V: 0.95,	SSIM-Y: 0.99138,	SSIM-U: 0.98016,	SSIM-V: 0.98762 ]	     30 bytes
Picture Number:   24	 QP:   14  [ PSNR-Y: 48.45 dB,	PSNR-U: 48.91 dB,	PSNR-V: 50.08 dB,	MSE-Y: 0.93,	MSE-U: 0.84,	MSE-V: 0.64,	SSIM-Y: 0.99145,	SSIM-U: 0.98872,	SSIM-V: 0.99154 ]	      5 bytes
Picture Number:   25	 QP:   22  [ PSNR-Y: 48.42 dB,	PSNR-U: 46.77 dB,	PSNR-V: 48.62 dB,	MSE-Y: 0.94,	MSE-U: 1.37,	MSE-V: 0.89,	SSIM-Y: 0.99137,	SSIM-U: 0.98048,	SSIM-V: 0.98762 ]	    125 bytes
Picture Number:   26	 QP:   18  [ PSNR-Y: 48.41 dB,	PSNR-U: 49.06 dB,	PSNR-V: 50.33 dB,	MSE-Y: 0.94,	MSE-U: 0.81,	MSE-V: 0.60,	SSIM-Y: 0.99145,	SSIM-U: 0.98884,	SSIM-V: 0.99154 ]	      5 bytes
Picture Number:   27	 QP:   22  [ PSNR-Y: 48.30 dB,	PSNR-U: 46.65 dB,	PSNR-V: 48.58 dB,	MSE-Y: 0.96,	MSE-U: 1.41,	MSE-V: 0.90,	SSIM-Y: 0.99139,	SSIM-U: 0.98011,	SSIM-V: 0.98751 ]	     35 bytes
Picture Number:   28	 QP:   13  [ PSNR-Y: 48.31 dB,	PSNR-U: 48.99 dB,	PSNR-V: 50.46 dB,	MSE-Y: 0.96,	MSE-U: 0.82,	MSE-V: 0.59,	SSIM-Y: 0.99139,	SSIM-U: 0.98852,	SSIM-V: 0.99180 ]	      5 bytes
Picture Number:   29	 QP:   22  [ PSNR-Y: 48.23 dB,	PSNR-U: 46.89 dB,	PSNR-V: 48.68 dB,	MSE-Y: 0.98,	MSE-U: 1.33,	MSE-V: 0.88,	SSIM-Y: 0.99130,	SSIM-U: 0.98134,	SSIM-V: 0.98798 ]	     39 bytes

SUMMARY ---------------------------------------------------------------------

				Average PSNR (using per-frame PSNR)		|	Overall PSNR (using per-frame MSE)		|	Average SSIM
Total Frames	Average QP  	Y-PSNR   	U-PSNR   	V-PSNR		| 	Y-PSNR   	U-PSNR   	V-PSNR   	|	Y-SSIM   	U-SSIM   	V-SSIM   	|	Bitrate
        30  	   19.57    	48.66 dB	47.95 dB	49.54 dB  	|	48.65 dB	47.74 dB	49.41 dB 	|	0.99165 	0.98464 	0.98979		|	180.40 kbps
