Picture Number:   20	 QP:   30  [ PSNR-Y: 46.06 dB,	PSNR-U: 48.14 dB,	PSNR-V: 49.36 dB,	MSE-Y: 1.61,	MSE-U: 1.00,	MSE-V: 0.75,	SSIM-Y: 0.98854,	SSIM-U: 0.98680,	SSIM-V: 0.99048 ]	      5 bytes
Picture Number:   21	 QP:   37  [ PSNR-Y: 5.33 dB,	PSNR-U: 5.76 dB,	PSNR-V: 6.02 dB,	MSE-Y: 19047.50,	MSE-U: 17268.04,	MSE-V: 16255.81,	SSIM-Y: 0.00106,	SSIM-U: 0.00036,	SSIM-V: 0.00038 ]	     43 bytes
Picture Number:   22	 QP:   34  [ PSNR-Y: 46.09 dB,	PSNR-U: 48.27 dB,	PSNR-V: 49.26 dB,	MSE-Y: 1.60,	MSE-U: 0.97,	MSE-V: 0.77,	SSIM-Y: 0.98868,	SSIM-U: 0.98694,	SSIM-V: 0.99058 ]	      5 bytes
Picture Number:   23	 QP:   37  [ PSNR-Y: 5.33 dB,	PSNR-U: 5.77 dB,	PSNR-V: 6.00 dB,	MSE-Y: 19044.87,	MSE-U: 17202.98,	MSE-V: 16322.91,	SSIM-Y: 0.00107,	SSIM-U: 0.00036,	SSIM-V: 0.00038 ]	     22 bytes
Picture Number:   24	 QP:   21  [ PSNR-Y: 46.09 dB,	PSNR-U: 48.16 dB,	PSNR-V: 49.23 dB,	MSE-Y: 1.60,	MSE-U: 0.99,	MSE-V: 0.78,	SSIM-Y: 0.98866,	SSIM-U: 0.98702,	SSIM-V: 0.99057 ]	      5 bytes
Picture Number:   25	 QP:   37  [ PSNR-Y: 5.33 dB,	PSNR-U: 5.77 dB,	PSNR-V: 6.01 dB,	MSE-Y: 19045.94,	MSE-U: 17239.93,	MSE-V: 16288.59,	SSIM-Y: 0.00107,	SSIM-U: 0.00036,	SSIM-V: 0.00038 ]	     24 bytes
Picture Number:   26	 QP:   33  [ PSNR-Y: 46.05 dB,	PSNR-U: 48.09 dB,	PSNR-V: 49.34 dB,	MSE-Y: 1.61,	MSE-U: 1.01,	MSE-V: 0.76,	SSIM-Y: 0.98872,	SSIM-U: 0.98685,	SSIM-V: 0.99037 ]	     24 bytes
Picture Number:   27	 QP:   37  [ PSNR-Y: 5.34 dB,	PSNR-U: 5.76 dB,	PSNR-V: 6.03 dB,	MSE-Y: 19023.46,	MSE-U: 17272.38,	MSE-V: 16218.08,	SSIM-Y: 0.00108,	SSIM-U: 0.00036,	SSIM-V: 0.00038 ]	     23 bytes
Picture Number:   28	 QP:   29  [ PSNR-Y: 45.89 dB,	PSNR-U: 48.08 dB,	PSNR-V: 49.44 dB,	MSE-Y: 1.67,	MSE-U: 1.01,	MSE-V: 0.74,	SSIM-Y: 0.98859,	SSIM-U: 0.98654,	SSIM-V: 0.99055 ]	     33 bytes
Picture Number:   29	 QP:   37  [ PSNR-Y: 5.35 dB,	PSNR-U: 5.77 dB,	PSNR-V: 6.01 dB,	MSE-Y: 18988.92,	MSE-U: 17209.70,	MSE-V: 16291.77,	SSIM-Y: 0.00106,	SSIM-U: 0.00036,	SSIM-V: 0.00038 ]	     23 bytes

SUMMARY ---------------------------------------------------------------------

				Average PSNR (using per-frame PSNR)		|	Overall PSNR (using per-frame MSE)		|	Average SSIM
Total Frames	Average QP  	Y-PSNR   	U-PSNR   	V-PSNR		| 	Y-PSNR   	U-PSNR   	V-PSNR   	|	Y-SSIM   	U-SSIM   	V-SSIM   	|	Bitrate
        30  	   33.63    	25.74 dB	26.97 dB	27.70 dB  	|	8.34 dB	8.78 dB	9.03 dB 	|	0.49489 	0.49361 	0.49552		|	82.40 kbps
