Picture Number:   20	 QP:   26  [ PSNR-Y: 48.12 dB,	PSNR-U: 49.34 dB,	PSNR-V: 50.94 dB,	MSE-Y: 1.00,	MSE-U: 0.76,	MSE-V: 0.52,	SSIM-Y: 0.99108,	SSIM-U: 0.98964,	SSIM-V: 0.99295 ]	      5 bytes
Picture Number:   21	 QP:   31  [ PSNR-Y: 48.20 dB,	PSNR-U: 49.22 dB,	PSNR-V: 50.91 dB,	MSE-Y: 0.99,	MSE-U: 0.78,	MSE-V: 0.53,	SSIM-Y: 0.99115,	SSIM-U: 0.98896,	SSIM-V: 0.99290 ]	     46 bytes
Picture Number:   22	 QP:   29  [ PSNR-Y: 48.22 dB,	PSNR-U: 49.54 dB,	PSNR-V: 51.04 dB,	MSE-Y: 0.98,	MSE-U: 0.72,	MSE-V: 0.51,	SSIM-Y: 0.99114,	SSIM-U: 0.98970,	SSIM-V: 0.99294 ]	      5 bytes
Picture Number:   23	 QP:   31  [ PSNR-Y: 48.15 dB,	PSNR-U: 49.10 dB,	PSNR-V: 50.75 dB,	MSE-Y: 1.00,	MSE-U: 0.80,	MSE-V: 0.55,	SSIM-Y: 0.99111,	SSIM-U: 0.98878,	SSIM-V: 0.99267 ]	     24 bytes
Picture Number:   24	 QP:   20  [ PSNR-Y: 48.19 dB,	PSNR-U: 49.46 dB,	PSNR-V: 50.96 dB,	MSE-Y: 0.99,	MSE-U: 0.74,	MSE-V: 0.52,	SSIM-Y: 0.99118,	SSIM-U: 0.98974,	SSIM-V: 0.99288 ]	      5 bytes
Picture Number:   25	 QP:   31  [ PSNR-Y: 48.13 dB,	PSNR-U: 49.24 dB,	PSNR-V: 51.00 dB,	MSE-Y: 1.00,	MSE-U: 0.77,	MSE-V: 0.52,	SSIM-Y: 0.99107,	SSIM-U: 0.98897,	SSIM-V: 0.99285 ]	     23 bytes
Picture Number:   26	 QP:   29  [ PSNR-Y: 48.13 dB,	PSNR-U: 49.39 dB,	PSNR-V: 50.88 dB,	MSE-Y: 1.00,	MSE-U: 0.75,	MSE-V: 0.53,	SSIM-Y: 0.99115,	SSIM-U: 0.98963,	SSIM-V: 0.99275 ]	     23 bytes
Picture Number:   27	 QP:   31  [ PSNR-Y: 48.04 dB,	PSNR-U: 49.05 dB,	PSNR-V: 50.40 dB,	MSE-Y: 1.02,	MSE-U: 0.81,	MSE-V: 0.59,	SSIM-Y: 0.99112,	SSIM-U: 0.98879,	SSIM-V: 0.99280 ]	     23 bytes
Picture Number:   28	 QP:   26  [ PSNR-Y: 48.02 dB,	PSNR-U: 49.49 dB,	PSNR-V: 50.88 dB,	MSE-Y: 1.03,	MSE-U: 0.73,	MSE-V: 0.53,	SSIM-Y: 0.99111,	SSIM-U: 0.98971,	SSIM-V: 0.99291 ]	     37 bytes
Picture Number:   29	 QP:   31  [ PSNR-Y: 47.86 dB,	PSNR-U: 49.32 dB,	PSNR-V: 51.00 dB,	MSE-Y: 1.06,	MSE-U: 0.76,	MSE-V: 0.52,	SSIM-Y: 0.99096,	SSIM-U: 0.98932,	SSIM-V: 0.99286 ]	     24 bytes

SUMMARY ---------------------------------------------------------------------

				Average PSNR (using per-frame PSNR)		|	Overall PSNR (using per-frame MSE)		|	Average SSIM
Total Frames	Average QP  	Y-PSNR   	U-PSNR   	V-PSNR		| 	Y-PSNR   	U-PSNR   	V-PSNR   	|	Y-SSIM   	U-SSIM   	V-SSIM   	|	Bitrate
        30  	   28.70    	48.27 dB	49.36 dB	50.94 dB  	|	48.27 dB	49.35 dB	50.94 dB 	|	0.99124 	0.98940 	0.99294		|	108.24 kbps
