Frame,integer_adm2,integer_adm_scale0,integer_adm_scale1,integer_adm_scale2,integer_adm_scale3,integer_motion2,integer_motion,integer_vif_scale0,integer_vif_scale1,integer_vif_scale2,integer_vif_scale3,vmaf,
0,0.993571,0.989426,0.988353,0.996286,0.996021,0.000000,0.000000,0.871080,0.990475,0.995699,0.996768,95.499345,
1,0.992217,0.989473,0.988040,0.994158,0.994128,0.367927,0.369508,0.871509,0.989708,0.995090,0.996538,95.653438,
2,0.993071,0.989519,0.989267,0.993609,0.996255,0.361249,0.367927,0.872417,0.990027,0.995074,0.996004,95.788569,
3,0.993013,0.988965,0.988768,0.994475,0.995894,0.361249,0.361249,0.871466,0.989911,0.995387,0.997230,95.887639,
4,0.992988,0.989107,0.988983,0.994288,0.995793,0.362707,0.372621,0.872879,0.990133,0.995636,0.997164,95.890963,
5,0.993435,0.989291,0.989016,0.996019,0.995528,0.362601,0.362707,0.871523,0.990069,0.995313,0.996525,95.922324,
6,0.993579,0.988889,0.989542,0.995396,0.996306,0.360057,0.362601,0.871674,0.990324,0.995449,0.996616,95.964836,
7,0.993819,0.989299,0.988862,0.995852,0.996832,0.357408,0.360057,0.871878,0.990243,0.995364,0.996633,96.010767,
8,0.993124,0.989383,0.989470,0.994374,0.995711,0.357408,0.357408,0.871940,0.989596,0.994877,0.996375,95.813795,
9,0.993532,0.989496,0.989609,0.996098,0.995313,0.371395,0.385095,0.871077,0.989811,0.995130,0.996429,95.938353,
10,0.993215,0.989124,0.989502,0.995020,0.995521,0.361290,0.371395,0.872344,0.989874,0.994794,0.995582,95.773145,
11,0.993093,0.989428,0.988392,0.994728,0.995941,0.361290,0.361290,0.872636,0.990124,0.995427,0.996927,95.883641,
12,0.992426,0.989280,0.988118,0.994017,0.994866,0.361835,0.363956,0.871772,0.990058,0.994810,0.996268,95.658468,
13,0.993257,0.989590,0.988163,0.995597,0.995753,0.361835,0.361835,0.872458,0.990018,0.995447,0.996788,95.909426,
14,0.993351,0.989501,0.989797,0.996150,0.994650,0.362634,0.362634,0.872530,0.989932,0.995019,0.996163,95.861269,
15,0.992594,0.989104,0.988487,0.994795,0.994560,0.366010,0.370648,0.871636,0.989697,0.995102,0.996812,95.755571,
16,0.993087,0.989024,0.988437,0.995502,0.995421,0.365975,0.366010,0.871051,0.990870,0.995892,0.997114,95.928081,
17,0.993262,0.988855,0.987480,0.996414,0.995788,0.365975,0.365975,0.869034,0.990456,0.995879,0.997604,96.002871,
18,0.993441,0.988822,0.989266,0.994635,0.996733,0.368961,0.370598,0.869159,0.989846,0.995578,0.997125,95.991058,
19,0.993296,0.989206,0.989214,0.995717,0.995309,0.368961,0.368961,0.869132,0.990401,0.995619,0.996656,95.926703,
20,0.993122,0.988912,0.988539,0.995256,0.995704,0.370173,0.371992,0.870164,0.989851,0.995466,0.997038,95.911296,
21,0.992905,0.989444,0.988005,0.994299,0.995975,0.356080,0.370173,0.869483,0.989976,0.995757,0.996485,95.814352,
22,0.992794,0.989630,0.987992,0.996072,0.994141,0.356080,0.356080,0.869691,0.989685,0.995236,0.996463,95.763739,
23,0.993158,0.989067,0.988170,0.995524,0.995740,0.362690,0.363434,0.869950,0.990373,0.996035,0.997566,95.979243,
24,0.993329,0.989489,0.989652,0.995563,0.995159,0.362690,0.362690,0.870639,0.990345,0.996025,0.997209,95.987277,
25,0.991892,0.988859,0.986919,0.994692,0.993678,0.363994,0.363994,0.868918,0.990519,0.995927,0.997232,95.674737,
26,0.992399,0.989068,0.987543,0.994305,0.994972,0.365735,0.365735,0.869943,0.990609,0.995887,0.997184,95.782186,
27,0.993028,0.989083,0.989574,0.995187,0.994832,0.373717,0.374079,0.870190,0.990721,0.996167,0.996977,95.926494,
28,0.993503,0.989366,0.988333,0.995668,0.996375,0.366677,0.373717,0.870582,0.990897,0.996814,0.998308,96.156625,
29,0.993662,0.989453,0.989934,0.995156,0.996279,0.366677,0.366677,0.869644,0.990674,0.996093,0.996903,96.045514,
