Frame,integer_adm2,integer_adm_scale0,integer_adm_scale1,integer_adm_scale2,integer_adm_scale3,integer_motion2,integer_motion,integer_vif_scale0,integer_vif_scale1,integer_vif_scale2,integer_vif_scale3,vmaf,
0,0.995979,0.993052,0.991759,0.998863,0.997223,0.000000,0.000000,0.903103,0.994219,0.997536,0.997896,96.213748,
1,0.995037,0.992865,0.991986,0.997063,0.996003,0.367927,0.369508,0.905961,0.994298,0.997310,0.998094,96.517172,
2,0.995717,0.992341,0.992352,0.996203,0.998621,0.361249,0.367927,0.906249,0.994428,0.997403,0.997636,96.624543,
3,0.995467,0.992116,0.992043,0.996964,0.997563,0.361249,0.361249,0.904634,0.994337,0.997709,0.998573,96.657911,
4,0.995345,0.992472,0.991780,0.997133,0.997088,0.362707,0.372621,0.906326,0.994737,0.998062,0.998961,96.682467,
5,0.996186,0.992741,0.992843,0.998904,0.997270,0.362601,0.362707,0.905068,0.994360,0.997499,0.998148,96.773347,
6,0.996225,0.992704,0.992025,0.998097,0.998527,0.360057,0.362601,0.905316,0.994457,0.997706,0.998235,96.795014,
7,0.996133,0.992454,0.991900,0.998046,0.998489,0.357408,0.360057,0.905397,0.994651,0.997711,0.998024,96.755897,
8,0.995357,0.992316,0.992265,0.996968,0.997041,0.357408,0.357408,0.903923,0.993746,0.996937,0.997619,96.514731,
9,0.995851,0.992389,0.991713,0.998885,0.997137,0.371395,0.385095,0.898648,0.993537,0.997058,0.998193,96.690885,
10,0.995228,0.992282,0.991112,0.997212,0.997156,0.361290,0.371395,0.900203,0.993622,0.996773,0.997217,96.451340,
11,0.995207,0.992618,0.990054,0.996862,0.997862,0.361290,0.361290,0.899981,0.993969,0.997487,0.998548,96.586787,
12,0.994641,0.992427,0.990172,0.996333,0.996715,0.361835,0.363956,0.899158,0.993932,0.996837,0.997788,96.374145,
13,0.995636,0.992758,0.990297,0.997914,0.998004,0.361835,0.361835,0.899776,0.993879,0.997561,0.998151,96.652181,
14,0.995509,0.992424,0.991874,0.998546,0.996350,0.362634,0.362634,0.900088,0.993858,0.997152,0.997628,96.565297,
15,0.995089,0.992647,0.990524,0.997296,0.996887,0.366010,0.370648,0.898877,0.993430,0.997117,0.998201,96.520238,
16,0.995171,0.991981,0.990387,0.997763,0.997083,0.365975,0.366010,0.897870,0.994144,0.997693,0.997973,96.549200,
17,0.995109,0.991944,0.989687,0.998077,0.997075,0.365975,0.365975,0.898041,0.993930,0.997602,0.998790,96.595750,
18,0.995872,0.991698,0.991994,0.997819,0.998195,0.368961,0.370598,0.898649,0.993657,0.997478,0.998194,96.711752,
19,0.995562,0.992077,0.991693,0.998367,0.996891,0.368961,0.368961,0.898178,0.994268,0.997612,0.998317,96.663031,
20,0.995171,0.992081,0.991966,0.997118,0.996662,0.370173,0.371992,0.897640,0.993782,0.997438,0.998320,96.569430,
21,0.995351,0.992270,0.991925,0.996660,0.997490,0.356080,0.370173,0.898452,0.994068,0.997703,0.997652,96.549490,
22,0.995003,0.992327,0.990863,0.998104,0.995918,0.356080,0.356080,0.898846,0.993597,0.997135,0.997792,96.456987,
23,0.995537,0.992156,0.991047,0.998628,0.996949,0.362690,0.363434,0.899056,0.994123,0.997798,0.998675,96.685334,
24,0.995391,0.992416,0.991895,0.998083,0.996394,0.362690,0.362690,0.899125,0.994241,0.997974,0.998385,96.639007,
25,0.994421,0.992052,0.989972,0.997603,0.995324,0.363994,0.363994,0.897083,0.993763,0.997705,0.998576,96.429885,
26,0.994482,0.991919,0.990477,0.996666,0.996027,0.365735,0.365735,0.898415,0.994085,0.997618,0.998403,96.429607,
27,0.995092,0.992524,0.991984,0.997576,0.995873,0.373717,0.374079,0.898776,0.994169,0.997819,0.998209,96.567325,
28,0.995740,0.992315,0.990650,0.998784,0.997556,0.366677,0.373717,0.899027,0.994718,0.998676,0.999056,96.808152,
29,0.995928,0.992531,0.992177,0.997936,0.997807,0.366677,0.366677,0.897885,0.994420,0.997826,0.998132,96.735267,
