Frame,integer_adm2,integer_adm_scale0,integer_adm_scale1,integer_adm_scale2,integer_adm_scale3,integer_motion2,integer_motion,integer_vif_scale0,integer_vif_scale1,integer_vif_scale2,integer_vif_scale3,vmaf,
0,0.996484,0.993595,0.992924,0.998086,0.998383,0.000000,0.000000,0.911974,0.995281,0.998266,0.998888,96.441651,
1,0.995351,0.993253,0.993240,0.996068,0.996821,0.367927,0.369508,0.914425,0.995162,0.997915,0.998811,96.675736,
2,0.996217,0.993181,0.993558,0.995341,0.999700,0.361249,0.367927,0.915046,0.995317,0.997769,0.998524,96.827077,
3,0.996047,0.992736,0.993276,0.996605,0.998524,0.361249,0.361249,0.913785,0.995228,0.998169,0.999184,96.859942,
4,0.996268,0.993117,0.992896,0.997247,0.998676,0.362707,0.372621,0.914118,0.995408,0.998296,0.999007,96.902519,
5,0.996404,0.993227,0.993753,0.997855,0.998022,0.362601,0.362707,0.913914,0.995161,0.997826,0.998324,96.855274,
6,0.996750,0.993139,0.993520,0.997789,0.999217,0.360057,0.362601,0.914031,0.995373,0.998092,0.998508,96.955013,
7,0.996466,0.993192,0.993126,0.997023,0.999258,0.357408,0.360057,0.913664,0.995339,0.997970,0.998347,96.870863,
8,0.996025,0.992889,0.993717,0.996518,0.998215,0.357408,0.357408,0.913189,0.994529,0.997356,0.998164,96.728116,
9,0.996505,0.993193,0.993424,0.998455,0.998013,0.371395,0.385095,0.913186,0.994884,0.997691,0.998414,96.888657,
10,0.996028,0.993489,0.993038,0.996882,0.998071,0.361290,0.371395,0.914365,0.994779,0.997335,0.997489,96.680731,
11,0.995884,0.993216,0.991957,0.996480,0.998736,0.361290,0.361290,0.914244,0.995317,0.998061,0.998922,96.799158,
12,0.995544,0.993478,0.992549,0.995964,0.997757,0.361835,0.363956,0.913709,0.995066,0.997350,0.998251,96.639076,
13,0.996315,0.993515,0.992445,0.997291,0.998874,0.361835,0.361835,0.914317,0.995024,0.998019,0.998484,96.855496,
14,0.996200,0.993290,0.994235,0.997566,0.997383,0.362634,0.362634,0.914916,0.995228,0.997695,0.998122,96.789346,
15,0.995672,0.993023,0.992431,0.996715,0.997750,0.366010,0.370648,0.913791,0.994827,0.997708,0.998656,96.719708,
16,0.996018,0.993071,0.992643,0.997134,0.998237,0.365975,0.366010,0.913445,0.995756,0.998387,0.998842,96.845327,
17,0.995857,0.992622,0.991213,0.997615,0.998400,0.365975,0.365975,0.909521,0.995309,0.998230,0.999211,96.829667,
18,0.996685,0.992809,0.994033,0.997261,0.999309,0.368961,0.370598,0.909742,0.995097,0.998143,0.998976,96.990357,
19,0.996190,0.992780,0.993204,0.997657,0.998081,0.368961,0.368961,0.908669,0.995341,0.998008,0.998489,96.838658,
20,0.995919,0.992943,0.993721,0.996149,0.998197,0.370173,0.371992,0.909312,0.994848,0.997912,0.998684,96.789837,
21,0.995848,0.993305,0.992806,0.996145,0.998381,0.356080,0.370173,0.909743,0.995255,0.998248,0.998221,96.735502,
22,0.995855,0.993261,0.992802,0.997767,0.997089,0.356080,0.356080,0.909711,0.994837,0.997630,0.998204,96.705885,
23,0.996320,0.993114,0.992368,0.998113,0.998418,0.362690,0.363434,0.910456,0.995441,0.998515,0.999347,96.950343,
24,0.996016,0.992918,0.992997,0.997761,0.997571,0.362690,0.362690,0.911136,0.995420,0.998527,0.998600,96.825162,
25,0.995008,0.992737,0.991733,0.996900,0.996254,0.363994,0.363994,0.908804,0.995185,0.998266,0.998623,96.595526,
26,0.995335,0.992566,0.992294,0.996186,0.997504,0.365735,0.365735,0.909420,0.995396,0.998219,0.998624,96.668494,
27,0.995844,0.993244,0.993782,0.996844,0.997257,0.373717,0.374079,0.909861,0.995415,0.998446,0.998677,96.804941,
28,0.996389,0.992800,0.992305,0.998032,0.998842,0.366677,0.373717,0.910047,0.995948,0.999286,0.999729,97.038703,
29,0.996660,0.993171,0.993745,0.997733,0.998865,0.366677,0.366677,0.909989,0.995650,0.998551,0.998764,96.986090,
