Picture Number:    0	 QP:    6  [ PSNR-Y: 47.53 dB,	PSNR-U: 50.29 dB,	PSNR-V: 51.18 dB,	MSE-Y: 1.15,	MSE-U: 0.61,	MSE-V: 0.50,	SSIM-Y: 0.99022,	SSIM-U: 0.99125,	SSIM-V: 0.99308 ]	  11655 bytes
Picture Number:    1	 QP:   37  [ PSNR-Y: 47.60 dB,	PSNR-U: 47.22 dB,	PSNR-V: 49.02 dB,	MSE-Y: 1.13,	MSE-U: 1.23,	MSE-V: 0.82,	SSIM-Y: 0.99047,	SSIM-U: 0.98305,	SSIM-V: 0.98946 ]	    126 bytes
Picture Number:    2	 QP:   36  [ PSNR-Y: 47.64 dB,	PSNR-U: 48.57 dB,	PSNR-V: 50.00 dB,	MSE-Y: 1.12,	MSE-U: 0.90,	MSE-V: 0.65,	SSIM-Y: 0.99047,	SSIM-U: 0.98812,	SSIM-V: 0.99150 ]	      5 bytes
Picture Number:    3	 QP:   37  [ PSNR-Y: 47.58 dB,	PSNR-U: 46.99 dB,	PSNR-V: 49.07 dB,	MSE-Y: 1.14,	MSE-U: 1.30,	MSE-V: 0.81,	SSIM-Y: 0.99034,	SSIM-U: 0.98275,	SSIM-V: 0.98948 ]	     22 bytes
Picture Number:    4	 QP:   34  [ PSNR-Y: 47.66 dB,	PSNR-U: 48.29 dB,	PSNR-V: 49.70 dB,	MSE-Y: 1.11,	MSE-U: 0.96,	MSE-V: 0.70,	SSIM-Y: 0.99055,	SSIM-U: 0.98796,	SSIM-V: 0.99135 ]	      5 bytes
Picture Number:    5	 QP:   37  [ PSNR-Y: 47.60 dB,	PSNR-U: 47.17 dB,	PSNR-V: 48.49 dB,	MSE-Y: 1.13,	MSE-U: 1.25,	MSE-V: 0.92,	SSIM-Y: 0.99039,	SSIM-U: 0.98265,	SSIM-V: 0.98923 ]	     43 bytes
Picture Number:    6	 QP:   36  [ PSNR-Y: 47.57 dB,	PSNR-U: 48.56 dB,	PSNR-V: 49.76 dB,	MSE-Y: 1.14,	MSE-U: 0.91,	MSE-V: 0.69,	SSIM-Y: 0.99039,	SSIM-U: 0.98790,	SSIM-V: 0.99139 ]	      5 bytes
Picture Number:    7	 QP:   37  [ PSNR-Y: 47.63 dB,	PSNR-U: 47.19 dB,	PSNR-V: 49.15 dB,	MSE-Y: 1.12,	MSE-U: 1.24,	MSE-V: 0.79,	SSIM-Y: 0.99045,	SSIM-U: 0.98298,	SSIM-V: 0.98955 ]	     22 bytes
Picture Number:    8	 QP:   31  [ PSNR-Y: 47.57 dB,	PSNR-U: 48.58 dB,	PSNR-V: 50.04 dB,	MSE-Y: 1.14,	MSE-U: 0.90,	MSE-V: 0.64,	SSIM-Y: 0.99037,	SSIM-U: 0.98800,	SSIM-V: 0.99158 ]	      5 bytes
Picture Number:    9	 QP:   37  [ PSNR-Y: 47.34 dB,	PSNR-U: 47.28 dB,	PSNR-V: 49.02 dB,	MSE-Y: 1.20,	MSE-U: 1.22,	MSE-V: 0.81,	SSIM-Y: 0.99008,	SSIM-U: 0.98323,	SSIM-V: 0.98975 ]	     64 bytes
Picture Number:   10	 QP:   36  [ PSNR-Y: 47.40 dB,	PSNR-U: 48.77 dB,	PSNR-V: 49.78 dB,	MSE-Y: 1.18,	MSE-U: 0.86,	MSE-V: 0.68,	SSIM-Y: 0.99019,	SSIM-U: 0.98839,	SSIM-V: 0.99146 ]	      5 bytes
