Picture Number:   20	 QP:   23  [ PSNR-Y: 48.17 dB,	PSNR-U: 49.07 dB,	PSNR-V: 50.36 dB,	MSE-Y: 0.99,	MSE-U: 0.81,	MSE-V: 0.60,	SSIM-Y: 0.99105,	SSIM-U: 0.98907,	SSIM-V: 0.99183 ]	      5 bytes
Picture Number:   21	 QP:   27  [ PSNR-Y: 48.16 dB,	PSNR-U: 47.03 dB,	PSNR-V: 49.06 dB,	MSE-Y: 0.99,	MSE-U: 1.29,	MSE-V: 0.81,	SSIM-Y: 0.99103,	SSIM-U: 0.98157,	SSIM-V: 0.98888 ]	     53 bytes
Picture Number:   22	 QP:   25  [ PSNR-Y: 48.20 dB,	PSNR-U: 49.17 dB,	PSNR-V: 50.20 dB,	MSE-Y: 0.98,	MSE-U: 0.79,	MSE-V: 0.62,	SSIM-Y: 0.99107,	SSIM-U: 0.98911,	SSIM-V: 0.99195 ]	      5 bytes
Picture Number:   23	 QP:   27  [ PSNR-Y: 48.15 dB,	PSNR-U: 46.80 dB,	PSNR-V: 48.54 dB,	MSE-Y: 1.00,	MSE-U: 1.36,	MSE-V: 0.91,	SSIM-Y: 0.99107,	SSIM-U: 0.98133,	SSIM-V: 0.98854 ]	     24 bytes
Picture Number:   24	 QP:   19  [ PSNR-Y: 48.18 dB,	PSNR-U: 48.94 dB,	PSNR-V: 50.11 dB,	MSE-Y: 0.99,	MSE-U: 0.83,	MSE-V: 0.63,	SSIM-Y: 0.99116,	SSIM-U: 0.98906,	SSIM-V: 0.99190 ]	      5 bytes
Picture Number:   25	 QP:   27  [ PSNR-Y: 48.11 dB,	PSNR-U: 47.00 dB,	PSNR-V: 48.83 dB,	MSE-Y: 1.01,	MSE-U: 1.30,	MSE-V: 0.85,	SSIM-Y: 0.99099,	SSIM-U: 0.98169,	SSIM-V: 0.98856 ]	     91 bytes
Picture Number:   26	 QP:   23  [ PSNR-Y: 48.13 dB,	PSNR-U: 49.15 dB,	PSNR-V: 50.35 dB,	MSE-Y: 1.00,	MSE-U: 0.79,	MSE-V: 0.60,	SSIM-Y: 0.99111,	SSIM-U: 0.98921,	SSIM-V: 0.99175 ]	      5 bytes
Picture Number:   27	 QP:   27  [ PSNR-Y: 47.99 dB,	PSNR-U: 46.85 dB,	PSNR-V: 48.79 dB,	MSE-Y: 1.03,	MSE-U: 1.34,	MSE-V: 0.86,	SSIM-Y: 0.99101,	SSIM-U: 0.98118,	SSIM-V: 0.98842 ]	     29 bytes
Picture Number:   28	 QP:   18  [ PSNR-Y: 47.97 dB,	PSNR-U: 49.01 dB,	PSNR-V: 50.41 dB,	MSE-Y: 1.04,	MSE-U: 0.82,	MSE-V: 0.59,	SSIM-Y: 0.99101,	SSIM-U: 0.98884,	SSIM-V: 0.99189 ]	      5 bytes
Picture Number:   29	 QP:   27  [ PSNR-Y: 47.88 dB,	PSNR-U: 47.05 dB,	PSNR-V: 48.83 dB,	MSE-Y: 1.06,	MSE-U: 1.28,	MSE-V: 0.85,	SSIM-Y: 0.99092,	SSIM-U: 0.98223,	SSIM-V: 0.98870 ]	     35 bytes

SUMMARY ---------------------------------------------------------------------

				Average PSNR (using per-frame PSNR)		|	Overall PSNR (using per-frame MSE)		|	Average SSIM
Total Frames	Average QP  	Y-PSNR   	U-PSNR   	V-PSNR		| 	Y-PSNR   	U-PSNR   	V-PSNR   	|	Y-SSIM   	U-SSIM   	V-SSIM   	|	Bitrate
        30  	   24.27    	48.33 dB	48.07 dB	49.61 dB  	|	48.32 dB	47.90 dB	49.52 dB 	|	0.99126 	0.98543 	0.99034		|	142.95 kbps
