Picture Number:   20	 QP:   21  [ PSNR-Y: 48.12 dB,	PSNR-U: 49.28 dB,	PSNR-V: 50.79 dB,	MSE-Y: 1.00,	MSE-U: 0.77,	MSE-V: 0.54,	SSIM-Y: 0.99097,	SSIM-U: 0.98948,	SSIM-V: 0.99274 ]	      5 bytes
Picture Number:   21	 QP:   27  [ PSNR-Y: 48.18 dB,	PSNR-U: 49.21 dB,	PSNR-V: 50.78 dB,	MSE-Y: 0.99,	MSE-U: 0.78,	MSE-V: 0.54,	SSIM-Y: 0.99111,	SSIM-U: 0.98894,	SSIM-V: 0.99270 ]	     46 bytes
Picture Number:   22	 QP:   24  [ PSNR-Y: 48.20 dB,	PSNR-U: 49.46 dB,	PSNR-V: 50.88 dB,	MSE-Y: 0.98,	MSE-U: 0.74,	MSE-V: 0.53,	SSIM-Y: 0.99110,	SSIM-U: 0.98950,	SSIM-V: 0.99273 ]	      5 bytes
Picture Number:   23	 QP:   27  [ PSNR-Y: 48.17 dB,	PSNR-U: 49.06 dB,	PSNR-V: 50.64 dB,	MSE-Y: 0.99,	MSE-U: 0.81,	MSE-V: 0.56,	SSIM-Y: 0.99113,	SSIM-U: 0.98883,	SSIM-V: 0.99252 ]	     24 bytes
Picture Number:   24	 QP:   15  [ PSNR-Y: 48.18 dB,	PSNR-U: 49.34 dB,	PSNR-V: 50.81 dB,	MSE-Y: 0.99,	MSE-U: 0.76,	MSE-V: 0.54,	SSIM-Y: 0.99111,	SSIM-U: 0.98957,	SSIM-V: 0.99264 ]	      5 bytes
Picture Number:   25	 QP:   27  [ PSNR-Y: 48.12 dB,	PSNR-U: 49.23 dB,	PSNR-V: 50.88 dB,	MSE-Y: 1.00,	MSE-U: 0.78,	MSE-V: 0.53,	SSIM-Y: 0.99097,	SSIM-U: 0.98907,	SSIM-V: 0.99267 ]	     90 bytes
Picture Number:   26	 QP:   23  [ PSNR-Y: 48.15 dB,	PSNR-U: 49.32 dB,	PSNR-V: 50.69 dB,	MSE-Y: 0.99,	MSE-U: 0.76,	MSE-V: 0.55,	SSIM-Y: 0.99112,	SSIM-U: 0.98938,	SSIM-V: 0.99250 ]	      5 bytes
Picture Number:   27	 QP:   27  [ PSNR-Y: 48.05 dB,	PSNR-U: 49.05 dB,	PSNR-V: 50.29 dB,	MSE-Y: 1.02,	MSE-U: 0.81,	MSE-V: 0.61,	SSIM-Y: 0.99108,	SSIM-U: 0.98878,	SSIM-V: 0.99263 ]	     24 bytes
Picture Number:   28	 QP:   18  [ PSNR-Y: 47.99 dB,	PSNR-U: 49.39 dB,	PSNR-V: 50.74 dB,	MSE-Y: 1.03,	MSE-U: 0.75,	MSE-V: 0.55,	SSIM-Y: 0.99108,	SSIM-U: 0.98943,	SSIM-V: 0.99271 ]	      5 bytes
Picture Number:   29	 QP:   27  [ PSNR-Y: 47.86 dB,	PSNR-U: 49.28 dB,	PSNR-V: 50.89 dB,	MSE-Y: 1.06,	MSE-U: 0.77,	MSE-V: 0.53,	SSIM-Y: 0.99091,	SSIM-U: 0.98934,	SSIM-V: 0.99273 ]	     28 bytes

SUMMARY ---------------------------------------------------------------------

				Average PSNR (using per-frame PSNR)		|	Overall PSNR (using per-frame MSE)		|	Average SSIM
Total Frames	Average QP  	Y-PSNR   	U-PSNR   	V-PSNR		| 	Y-PSNR   	U-PSNR   	V-PSNR   	|	Y-SSIM   	U-SSIM   	V-SSIM   	|	Bitrate
        30  	   24.07    	48.28 dB	49.29 dB	50.80 dB  	|	48.27 dB	49.29 dB	50.80 dB 	|	0.99121 	0.98930 	0.99274		|	113.17 kbps
