Picture Number:   20	 QP:   30  [ PSNR-Y: 47.40 dB,	PSNR-U: 48.86 dB,	PSNR-V: 50.27 dB,	MSE-Y: 1.18,	MSE-U: 0.85,	MSE-V: 0.61,	SSIM-Y: 0.99017,	SSIM-U: 0.98852,	SSIM-V: 0.99200 ]	      5 bytes
Picture Number:   21	 QP:   37  [ PSNR-Y: 47.42 dB,	PSNR-U: 48.81 dB,	PSNR-V: 50.19 dB,	MSE-Y: 1.18,	MSE-U: 0.85,	MSE-V: 0.62,	SSIM-Y: 0.99019,	SSIM-U: 0.98829,	SSIM-V: 0.99194 ]	     45 bytes
Picture Number:   22	 QP:   34  [ PSNR-Y: 47.43 dB,	PSNR-U: 48.94 dB,	PSNR-V: 50.33 dB,	MSE-Y: 1.17,	MSE-U: 0.83,	MSE-V: 0.60,	SSIM-Y: 0.99028,	SSIM-U: 0.98850,	SSIM-V: 0.99192 ]	      5 bytes
Picture Number:   23	 QP:   37  [ PSNR-Y: 47.39 dB,	PSNR-U: 48.75 dB,	PSNR-V: 50.16 dB,	MSE-Y: 1.19,	MSE-U: 0.87,	MSE-V: 0.63,	SSIM-Y: 0.99025,	SSIM-U: 0.98825,	SSIM-V: 0.99169 ]	     23 bytes
Picture Number:   24	 QP:   22  [ PSNR-Y: 47.41 dB,	PSNR-U: 48.84 dB,	PSNR-V: 50.35 dB,	MSE-Y: 1.18,	MSE-U: 0.85,	MSE-V: 0.60,	SSIM-Y: 0.99030,	SSIM-U: 0.98857,	SSIM-V: 0.99192 ]	      5 bytes
Picture Number:   25	 QP:   37  [ PSNR-Y: 47.37 dB,	PSNR-U: 48.83 dB,	PSNR-V: 50.33 dB,	MSE-Y: 1.19,	MSE-U: 0.85,	MSE-V: 0.60,	SSIM-Y: 0.99019,	SSIM-U: 0.98839,	SSIM-V: 0.99190 ]	     25 bytes
Picture Number:   26	 QP:   34  [ PSNR-Y: 47.38 dB,	PSNR-U: 48.79 dB,	PSNR-V: 50.20 dB,	MSE-Y: 1.19,	MSE-U: 0.86,	MSE-V: 0.62,	SSIM-Y: 0.99026,	SSIM-U: 0.98830,	SSIM-V: 0.99178 ]	     25 bytes
Picture Number:   27	 QP:   37  [ PSNR-Y: 47.28 dB,	PSNR-U: 48.75 dB,	PSNR-V: 49.69 dB,	MSE-Y: 1.22,	MSE-U: 0.87,	MSE-V: 0.70,	SSIM-Y: 0.99021,	SSIM-U: 0.98820,	SSIM-V: 0.99182 ]	     24 bytes
Picture Number:   28	 QP:   30  [ PSNR-Y: 47.24 dB,	PSNR-U: 48.91 dB,	PSNR-V: 50.18 dB,	MSE-Y: 1.23,	MSE-U: 0.84,	MSE-V: 0.62,	SSIM-Y: 0.99025,	SSIM-U: 0.98841,	SSIM-V: 0.99195 ]	     33 bytes
Picture Number:   29	 QP:   37  [ PSNR-Y: 47.17 dB,	PSNR-U: 48.94 dB,	PSNR-V: 50.28 dB,	MSE-Y: 1.25,	MSE-U: 0.83,	MSE-V: 0.61,	SSIM-Y: 0.99015,	SSIM-U: 0.98877,	SSIM-V: 0.99184 ]	     26 bytes

SUMMARY ---------------------------------------------------------------------

				Average PSNR (using per-frame PSNR)		|	Overall PSNR (using per-frame MSE)		|	Average SSIM
Total Frames	Average QP  	Y-PSNR   	U-PSNR   	V-PSNR		| 	Y-PSNR   	U-PSNR   	V-PSNR   	|	Y-SSIM   	U-SSIM   	V-SSIM   	|	Bitrate
        30  	   33.60    	47.51 dB	48.86 dB	50.25 dB  	|	47.50 dB	48.86 dB	50.24 dB 	|	0.99034 	0.98847 	0.99195		|	98.26 kbps
